#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,1.0,0.0,0.0,36.16074,1607.4951
1.0,1.0,0.0,0.0,13.40064,1620.8958
1.0,1.0,0.0,0.0,10.17588,1631.0717
1.0,1.0,0.0,0.0,9.30798,1640.3796
1.0,1.0,0.0,0.0,8.82552,1649.2052
1.0,1.0,0.0,0.0,8.48232,1657.6875
1.0,1.0,0.0,0.0,8.39058,1666.0781
1.0,1.0,0.0,0.0,8.43414,1674.5122
1.0,1.0,0.0,0.0,8.48232,1682.9945
1.0,1.0,0.0,0.0,8.78922,1691.7837
1.0,1.0,0.0,0.0,8.94432,1700.728
1.0,1.0,0.0,0.0,9.62016,1710.3481
1.0,1.0,0.0,0.0,10.54284,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
0.0,0.0,0.0,0.0,0.0,1720.891
