#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,1.0,3.57456,897.56024
1.0,1.0,0.0,1.0,4.36194,901.9222
0.0,1.0,0.0,1.0,4.00752,905.9297
1.0,1.0,0.0,1.0,3.94944,909.87915
0.0,1.0,0.0,1.0,4.20354,914.0827
1.0,1.0,0.0,1.0,2.66112,916.74384
0.0,1.0,0.0,1.0,5.53014,922.274
1.0,1.0,0.0,1.0,2.59116,924.8652
0.0,1.0,0.0,1.0,5.45952,930.3247
1.0,1.0,0.0,1.0,2.64594,932.97064
0.0,1.0,0.0,1.0,5.50704,938.47766
1.0,1.0,0.0,1.0,3.3165,941.7942
0.0,1.0,0.0,1.0,5.09586,946.8901
1.0,1.0,0.0,1.0,2.53308,949.42316
0.0,1.0,0.0,1.0,6.07464,955.4978
1.0,1.0,0.0,1.0,2.88618,958.384
0.0,1.0,0.0,1.0,6.00732,964.3913
1.0,1.0,0.0,1.0,3.48084,967.87213
0.0,1.0,0.0,1.0,6.15516,974.0273
1.0,1.0,0.0,1.0,4.19628,978.2236
0.0,1.0,0.0,1.0,6.7254,984.949
1.0,1.0,0.0,1.0,5.00214,989.9511
0.0,1.0,0.0,1.0,8.20446,998.1556
1.0,1.0,0.0,1.0,5.72616,1003.8817
0.0,1.0,0.0,1.0,10.54416,1014.4259
1.0,1.0,0.0,1.0,7.69692,1022.1228
0.0,1.0,0.0,1.0,12.05028,1034.1731
1.0,1.0,0.0,1.0,7.23492,1041.408
0.0,1.0,0.0,0.0,10.16994,1051.5779
1.0,1.0,0.0,0.0,16.08816,1067.666
0.0,1.0,0.0,0.0,7.2732,1074.9392
1.0,1.0,0.0,0.0,3.67686,1078.6161
0.0,1.0,0.0,0.0,5.86344,1084.4795
1.0,1.0,0.0,0.0,3.57258,1088.0521
0.0,1.0,0.0,0.0,4.53618,1092.5883
1.0,1.0,0.0,0.0,2.25984,1094.8481
0.0,1.0,0.0,0.0,6.09378,1100.9419
1.0,1.0,0.0,0.0,2.14302,1103.085
0.0,1.0,0.0,0.0,5.48262,1108.5676
1.0,1.0,0.0,0.0,1.57344,1110.1411
0.0,1.0,0.0,0.0,6.12414,1116.2653
1.0,1.0,0.0,0.0,1.8315,1118.0968
0.0,1.0,0.0,0.0,5.42058,1123.5173
1.0,1.0,0.0,0.0,1.66848,1125.1858
0.0,1.0,0.0,0.0,6.09576,1131.2815
1.0,1.0,0.0,0.0,1.9305,1133.212
0.0,1.0,0.0,0.0,4.96914,1138.1812
1.0,1.0,0.0,0.0,2.39844,1140.5796
0.0,1.0,0.0,0.0,6.07134,1146.6509
1.0,1.0,0.0,0.0,2.13972,1148.7906
0.0,1.0,0.0,0.0,5.29848,1154.0891
1.0,1.0,0.0,0.0,4.17582,1158.2649
0.0,1.0,0.0,0.0,4.6398,1162.9047
1.0,1.0,0.0,0.0,3.56136,1166.4661
0.0,1.0,0.0,0.0,5.67864,1172.1447
1.0,1.0,0.0,0.0,4.8807,1177.0254
0.0,1.0,0.0,0.0,5.97366,1182.999
1.0,1.0,0.0,0.0,6.39672,1189.3958
0.0,1.0,0.0,0.0,4.74012,1194.1359
1.0,1.0,0.0,0.0,1.6665,1195.8024
0.0,1.0,0.0,0.0,2.26182,1198.0642
1.0,1.0,0.0,0.0,6.06936,1204.1335
0.0,1.0,0.0,0.0,10.56594,1214.6995
1.0,1.0,0.0,0.0,7.13196,1221.8314
0.0,1.0,0.0,0.0,9.1014,1230.9329
1.0,1.0,0.0,0.0,5.76378,1236.6967
0.0,1.0,0.0,0.0,6.1974,1242.894
1.0,1.0,0.0,0.0,5.59614,1248.4902
0.0,1.0,0.0,0.0,4.64046,1253.1307
1.0,1.0,0.0,0.0,5.1315,1258.2622
0.0,1.0,0.0,0.0,3.83724,1262.0995
1.0,1.0,0.0,0.0,4.2966,1266.3961
0.0,1.0,0.0,0.0,3.87024,1270.2664
1.0,1.0,0.0,0.0,3.55542,1273.8218
0.0,1.0,0.0,0.0,4.22598,1278.0477
1.0,1.0,0.0,0.0,2.3397,1280.3875
0.0,1.0,0.0,0.0,5.0853,1285.4728
1.0,1.0,0.0,0.0,2.1384,1287.6112
0.0,1.0,0.0,0.0,5.14206,1292.7533
1.0,1.0,0.0,0.0,4.39098,1297.1443
0.0,1.0,0.0,0.0,2.5608,1299.7051
1.0,1.0,0.0,0.0,3.5805,1303.2855
0.0,1.0,0.0,0.0,3.57324,1306.8588
1.0,1.0,0.0,0.0,2.17866,1309.0375
0.0,1.0,0.0,0.0,4.89984,1313.9373
1.0,1.0,0.0,0.0,3.46104,1317.3983
0.0,1.0,0.0,0.0,4.0029,1321.4012
1.0,1.0,0.0,0.0,2.43804,1323.8392
0.0,1.0,0.0,0.0,5.20608,1329.0453
1.0,1.0,0.0,0.0,3.1515,1332.1968
0.0,1.0,0.0,0.0,4.9995,1337.1963
1.0,1.0,0.0,0.0,2.69148,1339.8878
0.0,1.0,0.0,0.0,5.84496,1345.7328
1.0,1.0,0.0,0.0,4.19892,1349.9318
0.0,1.0,0.0,0.0,6.12612,1356.0579
1.0,1.0,0.0,0.0,4.6728,1360.7307
0.0,1.0,0.0,0.0,7.11216,1367.8429
1.0,1.0,0.0,0.0,5.40474,1373.2477
0.0,1.0,0.0,0.0,9.03936,1382.287
1.0,1.0,0.0,0.0,5.82252,1388.1095
0.0,1.0,0.0,0.0,9.17136,1397.2809
1.0,1.0,0.0,0.0,14.8632,1412.144
0.0,1.0,0.0,0.0,6.40068,1418.5447
1.0,1.0,0.0,0.0,3.9732,1422.5178
0.0,1.0,0.0,1.0,4.58634,1427.1041
1.0,1.0,0.0,1.0,3.91776,1431.0219
0.0,1.0,0.0,1.0,4.5837,1435.6056
1.0,1.0,0.0,1.0,2.1087,1437.7142
0.0,1.0,0.0,1.0,5.41002,1443.1243
1.0,1.0,0.0,1.0,1.71798,1444.8423
0.0,1.0,0.0,1.0,5.96508,1450.8074
1.0,1.0,0.0,1.0,1.75494,1452.5623
0.0,1.0,0.0,1.0,2.46048,1455.0227
1.0,1.0,0.0,1.0,1.66782,1456.6906
0.0,1.0,0.0,1.0,1.14708,1457.8376
1.0,1.0,0.0,1.0,1.50612,1459.3438
0.0,1.0,0.0,1.0,5.97828,1465.322
1.0,1.0,0.0,1.0,1.6566,1466.9786
0.0,1.0,0.0,1.0,2.45058,1469.4292
1.0,1.0,0.0,1.0,1.70082,1471.13
0.0,1.0,0.0,1.0,1.07844,1472.2085
1.0,1.0,0.0,1.0,1.66716,1473.8756
0.0,1.0,0.0,1.0,5.91228,1479.7878
1.0,1.0,0.0,1.0,1.8447,1481.6326
0.0,1.0,0.0,1.0,4.95594,1486.5885
1.0,1.0,0.0,1.0,2.12256,1488.711
0.0,1.0,0.0,1.0,6.11556,1494.8267
1.0,1.0,0.0,1.0,2.25522,1497.0819
0.0,1.0,0.0,1.0,5.11434,1502.1963
1.0,1.0,0.0,1.0,4.40154,1506.5978
0.0,1.0,0.0,1.0,4.60416,1511.2019
1.0,1.0,0.0,1.0,4.12632,1515.3282
0.0,1.0,0.0,1.0,5.34072,1520.669
1.0,1.0,0.0,1.0,5.15988,1525.8289
0.0,1.0,0.0,1.0,5.94858,1531.7775
1.0,1.0,0.0,1.0,5.76444,1537.5419
0.0,1.0,0.0,1.0,6.5439,1544.0858
1.0,1.0,0.0,1.0,5.47932,1549.5652
0.0,1.0,0.0,1.0,6.10962,1555.6748
1.0,1.0,0.0,1.0,5.30772,1560.9825
0.0,1.0,0.0,1.0,5.0787,1566.0613
1.0,1.0,0.0,1.0,5.31498,1571.3762
0.0,1.0,0.0,1.0,4.23126,1575.6074
1.0,1.0,0.0,1.0,5.17638,1580.7838
0.0,1.0,0.0,1.0,3.90192,1584.6858
1.0,1.0,0.0,1.0,4.78368,1589.4695
0.0,1.0,0.0,1.0,3.73758,1593.207
1.0,1.0,0.0,1.0,4.14216,1597.3492
0.0,1.0,0.0,1.0,4.2141,1601.5634
1.0,1.0,0.0,1.0,3.92634,1605.4897
0.0,1.0,0.0,1.0,4.22466,1609.7144
1.0,1.0,0.0,1.0,2.34432,1612.0587
0.0,1.0,0.0,1.0,5.6991,1617.7578
1.0,1.0,0.0,1.0,2.49282,1620.2506
0.0,1.0,0.0,1.0,5.60538,1625.856
1.0,1.0,0.0,1.0,2.61492,1628.4708
0.0,1.0,0.0,1.0,5.56644,1634.0372
1.0,1.0,0.0,1.0,3.13632,1637.1736
0.0,1.0,0.0,1.0,5.19288,1642.3665
